left,right,match
WVHGHwddqSsNjsjwqVvdw,ZRCbcJcZTCcsZbLcJJsCZ,s
hngprFFhFDFhrDpzzQDhtnB,JJRJZbZvTcvbfRCJfBRcBJl,B
DmptngtF,wvvMmwmm,m
HFddrJnLdq,tHBMQBmmVm,H
gbvNsbhsv,QtmZTbQPT,b
vDshDlczcDhcssscwzQwsl,LJrSJLpqrrzpnCrSfLSnqq,z
pDGQDSpFDGzFDQSJqzDhjhQ,MTjTrwTstbTBTjTtLtbTMBT,j
zgzVNHHg,MwMLbLNB,N
WRWPgdHCZccgg,JmJGzJmzGhGCD,C
sVJNlhldShpdp,nnwVnwCwtwggt,V
WLFFcHWQLPPZQ,CgtnCgmbtbHwt,H
MPLWzRMMcGgRrW,NDpSSSfDflMlTd,M
BBMZJcgBRjCZZzB,pSvHQvbLvvHCQLQ,C
VlVTFwDTVGnfW,SQPtsDPbvrpDS,D
wWdqhWlwGVfGwlfTVqFWfWW,jzZZBJmMZMNdzZJMpjzNjgJ,d
FBWFphQBmDmpmMSpDW,VcVcvsPcRbrjPMcMsr,M
HHtdnHnwNCHCTJ,RTPTzrbvVbcVRr,T
lHqHwlnlqnGCN,GGmWDvvZfpZvG,G
mfVtmPtsccMmHcHCFfmhVm,npgZLbWPZqWnpqZbZWpgPW,P
zzvwBrzdQDv,pZJfQJZJpLf,Q
BrTBwRdN,cfNmfStc,N
sTlhFLfZTTLcfsLlLDZfl,vQvRNqRJFNvRMRNvQQRBQ,F
CWcgwStWwCWWw,vgNQvJBvQMQRB,g
wptGzbzGWVGSCVV,lVlLDcVVsfhLTlf,V
HVnMVGwLLbsGnVsLnwLSB,ggMhjmgmgmhtmqhtgMhMj,M
zrZzJRZfzZfrPCrFcWccP,dTdHHlvdmlgTghCtmtTgq,C
NFfcZWWzZrr,HLBpBBGVGNG,N
HqFhhCBCBLmwwCqJCHFvv,FdcprrrSSrjRFRjpgrggb,F
VGzWtQzGGQPVtlVNslVWsP,dRpmcRrjpSzcrcbdSmSnSg,z
WPPGllQMPG,mTLvLJBCwM,M
PvDWRSmTVvSvR,hbZRpRpbjjjzM,R
GBFGHLglHrrrLgGr,ttbMjpbcpcZJBsBp,B
lrHgrrndgdNnlHGF,QPMMmWPTvvWSCDQn,n
mmhQShhmhQfzNfTTlSh,bHJrRtltltJJtHlRLLZ,l
WscggNqwPWjcGcWWcpNc,RJHHprZvZHrvtttZJpJr,p
jGjgcMGCwPNsGDCcs,zBfhhQQQDnFnTVVBV,D
mcGjrwzQcrZtQzZQDZc,PssvPVVCPCVLwswwPBC,w
NJbqHddNSgd,PWvvsVHVLPs,H
NqglNSlJFNSbSNdldNlNdNbT,RFDrvRmQrQGtmDrvttQmmtDj,F
zzcBPnHBjgHjW,JvbJQTvScbwcQ,c
qdspVCFqVqfFqLFCq,tpTwtpTbSTbJpwBST,p
FRLFRCNNqMfd,WNmZPBPZrHmm,N
VmtRRJmtrDrwhR,cvPspltvgqtqsd,t
WGQBZzMMBGBGbZTTWWCMNS,gggqnPlsfbqndndccglffg,b
CWQQZMFWdzMQd,JJwJVFrwmmmRw,F
rZsFfGfNhznzsjhzZfVjG,VvVdvSTSJHSDDtcmmmttC,V
wWpRBWlbWMWlQ,DvCcRSvJRSStm,R
LPlwWqbgw,qjjcFshNf,q
lsppsGphmP,rRQnvHdRpd,p
qBgjLqMjgjTL,PnzHPrPRLnzv,L
gSMfNjNtttVbqBbtTSStjTq,lhmlZDsDsbWZWFFFsGhlWPm,b
sPDPDzrGzBsGRsb,wrjtSVvthVfQtQw,r
ClpgFZgNqMWCgqCpMNZqNWmN,dtSwtljtVHQhtwfvdHtSdhSj,l
FpNCJpNcpfCpgNW,PGBLcbTGTzTzPnG,c
mssNLCZqSqmNCHmrqHChJ,TjTjnRRnnqVnTTGngGTRn,q
dbwptFwQbvdtcvpZDcDdd,gzGPjTGgpPTRpzzzgRzTn,p
BwZdtZldDb,rSsNrsrSHl,l
MLnFWMRWpnpnLnL,CmPGTqQsFzBttTQ,F
SwNlDHNcddglSDBjr,qmqGQqqmGtGGwszPP,w
vdSlNcrv,vvnBMbBR,v
psZPRmTpRp,grlrDRBFgV,R
jvCqNhwnjhGNqCMq,VgFHWtgHBrtwHFrJ,w
cGvbNcjvvhhjcvbQGc,ZdZSQpzdpmpPVpdZpd,Q
drTHDdlHzllZDTzT,QRQLsPPSsBbSjQdL,d
MfVVWmNvMnqNmVVpMMgfgMmv,BFFfRRLQPPsPfsFLFCFRSFjR,f
whMnNVnqWm,lllHswJTZT,w
ZSQTTLLlTsbmmDZlmNQSN,FfPwHwqCjCCfjwFPwfwLr,L
MctMJMBVttnhJcBBVct,wRHjHRJwJwjFfqPfRwj,J
vzqgqhBVz,zTlZmmTlN,z
WgvlHJFvljvd,Bmzcvcwpmchc,v
TQqZsTZttLZbRZsLLM,zzppBmNShCmBNTcNCN,T
LPMZsMZLMQV,gglFPhFHlFl,P
qsBCPVPqVbwf,nMQNmZJnqJgR,q
hHdrvvLWtvtjW,QnZJTMrmpTZgN,r
DShSShLZdF,GPGDPGsPsG,D
qRBddRzFFqFqHn,NnPSnnmmSpgpJm,n
ssZDQMvvMw,ppNJWRDRpW,D
MMvwlsRMcQ,BjcLqLBBqc,c
ZGHpwFGvwpHrvfF,TMtDfccMjntMntc,f
RgSCLRLJRSRSQQqJm,TDMPMTtsJjnclBjtj,J
LVmmSSddLC,wVHDbzDzZr,V
psgWdsBjnnJjbZW,QDDLNrDcrLVQjLM,j
zPSCCHqCfqf,mWNMcrVSLRM,S
TPHzWPFTGztqT,GgdJdsssvZgwb,G
gcFgBChc,ClJjNCPb,C
sWZdZdrSmWmSZRwSms,vPlsTtTtNMnnlvnJJv,s
GSWrHZdGQpRrrSGmpWQmQ,fLfpVzDfghppzBVLBlBqg,p
BFNqFzBNhq,VwmTtsqVst,q
dMwMwMfCMW,bDtDvDssCC,C
ldMwMSHHMMWJpRp,PLLpBzPZjgnZPhN,p
WczRJhcWggVB,dzPPLnCjdvjm,z
lSpSTpTSs,CCmmntNdp,p
wSFDCTwsGD,qQqQVWWcJw,w
RqPqhDGBhRDrrhBFmP,mbgssZbwbgCbwsmZsQ,m
nCtjMppjfTpjJJf,VZwtzZtllLZwLss,t
MHfpMWdHpSCSfnSTJW,hDDFDFBGqDGvvDBDFd,d
MCCGMCSHVGNT,spVWQznddndg,V
rttLtvRbrhLZrbc,QdJnnQdfddsrggf,r
BbRqltRt,HsNNllNC,l
ncFpcsLLdF,mWlRmnllTR,n
bMMVzVqMzjNVDb,lmRTPGlSmmPlqG,q
gNDDJMVZNCbNJNDNQCbZCb,scvBsdBvrRHfcpdQpfFFff,Q
VnWFbZvFbHWhFjZWVJZJLZFW,TttpMCspQTTzQCHpgQMgztzT,H
